X,Y,OBJECTID,Block,Lot,PermitNum,VBN,DateIssue,DateIssued,ExistingUse,ProposedUse,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address
1416736.17868222,594143.36248973,30003,0430,070,USE2022-51778,Y,2022/02/25 00:00:00+00,Feb 25 2022 12,1-08,1-08,G,11,Upton,0430 070,1132 MYRTLE AVE
1416717.88869256,594162.337189317,30009,0430,072,USE2022-52853,Y,2022/04/14 00:00:00+00,Apr 14 2022 12,1-08,1-08,G,11,Upton,0430 072,1136 MYRTLE AVE
1416653.2303573,594229.755033478,30016,0430,079,USE2024-54416,Y,2024/08/27 00:00:00+00,Aug 27 2024 12,1-08,1-08,G,11,Upton,0430 079,1150 MYRTLE AVE
1423258.98026913,596008.627788067,30192,1181,043,USE2021-53898,Y,2021/08/18 00:00:00+00,Aug 18 2021 12,1-08,1-08,J,12,Johnston Square,1181 043,609 E CHASE ST
1425226.07016698,594986.469399303,30204,1222,060,USE2018-55342,Y,2019/02/26 14:30:06+00,Feb 26 2019  2,1-08,1-08,G,12,Oldtown,1222 060,1234 E MADISON ST
1423557.9271778,596010.121879563,30247,1182,029,USE2020-52976,Y,2020/08/17 00:00:00+00,Aug 17 2020 12,1-11,1-11,H,12,Johnston Square,1182 029,711 E CHASE ST
1423648.88007988,596007.489666983,30253,1182,035,USE2021-55260,Y,2021/12/10 00:00:00+00,Dec 10 2021 12,1-08,1-08,H,12,Johnston Square,1182 035,723 E CHASE ST
1423794.60911913,596017.92566973,30272,1183,016,USE2024-51930,Y,2024/06/25 00:00:00+00,Jun 25 2024 12,1-08,1-08,H,12,Johnston Square,1183 016,807 E CHASE ST
1423966.54283039,596026.673683733,30282,1183,026,USE2024-51931,Y,2024/06/25 00:00:00+00,Jun 25 2024 12,1-08,1-08,H,12,Johnston Square,1183 026,827 E CHASE ST
1410644.87491997,590944.635291398,30323,0189,015,USE2019-52105,Y,2019/05/14 15:00:06+00,May 14 2019  3,1-08,1-08,J,9,Penrose/Fayette Street Outreach,0189 015,29 N BENTALOU ST
1415542.36217222,590266.763943732,30346,0234,053,USE2016-05962,Y,2017/02/16 11:26:38+00,Feb 16 2017 11,VAC,SF,F,9,Hollins Market,0234 053,1102 W LOMBARD ST
1415525.19193096,590374.987808645,30356,0234,060,USE2014-05854,Y,2015/04/21 00:00:00+00,Apr 21 2015 12,VAC,SF,F,9,Hollins Market,0234 060,30 S ARLINGTON AVE
1415415.78991881,590326.771369651,30362,0234,067,USE2019-52191,Y,2019/05/08 15:00:30+00,May  8 2019  3,1-08,1-08,F,9,Hollins Market,0234 067,35 S CARLTON ST
1413841.91183297,589984.16149056,30391,0246,007,USE2019-55036,Y,2019/10/15 15:00:12+00,Oct 15 2019  3,1-08,1-08,E,9,Union Square,0246 007,1511 W LOMBARD ST
1413807.27607547,589982.030589312,30393,0246,009,USE2019-52811,Y,2020/01/09 00:00:00+00,Jan  9 2020 12,1-08,1-08,E,9,Union Square,0246 009,1515 W LOMBARD ST
1411656.65734522,589524.957028389,30396,0258,010,USE2023-51796,Y,2023/06/07 00:00:00+00,Jun  7 2023 12,3-42,3-42,J,9,Carrollton Ridge,0258 010,2019 W PRATT ST
1413690.06043063,589811.735654309,30546,0246,026,USE2022-54271,Y,2022/06/28 00:00:00+00,Jun 28 2022 12,1-08,1-08,E,9,Union Square,0246 026,119 S GILMOR ST
